model,model_key,layer,iteration_type,iteration,loss,js_divergence,total_variation_distance,negative_log_likelihood,target_support_probability,mode_coverage,entropy,grad_norm,step_time_s,epoch_time_s
MZI,MZI,1,step,19,0.7507148139695626,0.29572996098833726,0.6183622708759622,2.827111596249515,0.3816377291240377,6.0,2.7188505774018026,0.13887769504800937,0.018109798431396484,
MZI,MZI,1,step,20,0.7457777613489665,0.2937273875879609,0.6209177827192395,2.8066965641669572,0.37908221728076047,6.0,2.738829996076159,0.11346089639343006,0.0198361873626709,
MZI,MZI,1,step,21,0.7423767921179124,0.2923398401912045,0.6226241491758898,2.792704963119423,0.3773758508241102,6.0,2.7525799902622827,0.0902116054173785,0.027925729751586914,
MZI,MZI,1,step,22,0.7402802159418753,0.29147712083986577,0.6236252393964781,2.7841455542145703,0.37637476060352193,6.0,2.760978240669096,0.06979281859853415,0.02091813087463379,
MZI,MZI,1,step,23,0.7392398172621102,0.29103904092942645,0.6240496770613203,2.779988616530785,0.3759503229386797,6.0,2.7649747695533176,0.053548698466940575,0.019775390625,
MZI,MZI,1,step,24,0.7389908888840958,0.29091703530372565,0.6240203586038474,2.7791522376678524,0.3759796413961526,6.0,2.765592314277278,0.04369965338792561,0.026046276092529297,
MZI,MZI,1,step,25,0.7392591490195675,0.29099766204056954,0.6236556295607316,2.780524703339743,0.3763443704392684,6.0,2.763888630330466,0.04197691092702084,0.03014349937438965,
MZI,MZI,1,step,26,0.7397769634435691,0.2911698458142543,0.6230676801889434,2.7830248907991173,0.3769323198110565,6.0,2.7608931759779347,0.04666083263443773,0.02734375,
MZI,MZI,1,step,27,0.7403026399809635,0.29133307713641204,0.6223587500573169,2.785677502277904,0.377641249942683,6.0,2.757534789756704,0.05393954102886532,0.029835939407348633,
MZI,MZI,1,step,28,0.7406352324882589,0.29140304850111887,0.6216138744624973,2.7876766017601016,0.3783861255375026,6.0,2.7545774803006733,0.061097713327582744,0.032300472259521484,
MZI,MZI,1,step,29,0.7406279377169547,0.29131675139284097,0.620892629439705,2.78844369901419,0.37910737056029503,6.0,2.7525642350803867,0.06677471270522763,0.028433799743652344,
MZI,MZI,1,step,30,0.7401991003932373,0.29103691273897225,0.6202215360147045,2.7876740723568663,0.3797784639852955,6.0,2.7517731960619303,0.07036352740620866,0.03126788139343262,
MZI,MZI,1,step,31,0.7393372119908929,0.2905543042523452,0.6195890696153215,2.785356361718544,0.3804109303846785,6.0,2.752197072825582,0.07168155899998181,0.025894641876220703,
MZI,MZI,1,step,32,0.7380964268830665,0.28988643009989307,0.6189458962092522,2.781751346484739,0.38105410379074767,6.0,2.7535590010642856,0.07086193559895279,0.02333354949951172,
MZI,MZI,1,step,33,0.7365800187586096,0.28907130803023157,0.6182125902961777,2.7773205414237934,0.38178740970382224,6.0,2.755376425713472,0.06834547939271243,0.02557659149169922,
MZI,MZI,1,step,34,0.7349117432700385,0.2881560173197931,0.6172952500399165,2.7726064229883303,0.38270474996008347,6.0,2.757075137803922,0.0649000435307099,0.02708268165588379,
MZI,MZI,1,step,35,0.7331995767867028,0.2871816638246516,0.6161061294430134,2.7680840432660037,0.3838938705569867,6.0,2.7581368081606645,0.06158582893531529,0.02834939956665039,
MZI,MZI,1,step,36,0.7315016191304707,0.28616889899079945,0.6145826741071079,2.764023909562106,0.3854173258928922,6.0,2.7582399834350406,0.05954320676125943,0.028460979461669922,
MZI,MZI,1,step,37,0.7298071820743597,0.28510968675532655,0.6126965155561868,2.7604177969414923,0.38730348444381313,6.0,2.7573395888200487,0.05953749245149092,0.025604248046875,
MZI,MZI,1,step,38,0.7280433505408604,0.28396980948836253,0.6104467787965631,2.757008014084465,0.38955322120343683,6.0,2.7556410201863004,0.061523999102042266,0.020664215087890625,
MZI,MZI,1,step,39,0.726107069957697,0.282702128770576,0.6078398435586503,2.7534196600612573,0.3921601564413497,6.0,2.7534684249124637,0.0647050576722207,0.020723342895507812,
MZI,MZI,1,step,40,0.7239098847595937,0.2812652211267249,0.6048659680198842,2.7493424348791637,0.39513403198011576,6.0,2.7510814327387183,0.06805096015040062,0.02008986473083496,
MZI,MZI,1,step,41,0.7214157869450466,0.2796393988503405,0.6014850583086147,2.744680901195169,0.3985149416913853,6.0,2.7485218508657323,0.07080471645831407,0.02289557456970215,
MZI,MZI,1,step,42,0.7186565209942358,0.27783358613940473,0.5976272973435816,2.7396104665843466,0.4023727026564184,6.0,2.7455539270969886,0.07273204636958447,0.026009321212768555,
MZI,MZI,1,step,43,0.71571921822633,0.27588031158280446,0.5932050802321316,2.7345243508794597,0.40679491976786847,6.0,2.741716575649416,0.07416237196896582,0.026355981826782227,
MZI,MZI,1,step,44,0.7127126684010247,0.27382056828258616,0.5881282652591592,2.7299045790365364,0.41187173474084077,6.0,2.7364599922908246,0.07585819000900937,0.025049924850463867,
MZI,MZI,1,step,45,0.7097279569531426,0.27168499876349483,0.5823173385945472,2.7261806083994697,0.4176826614054528,6.0,2.7293063694725275,0.07868091081134915,0.02329111099243164,
MZI,MZI,1,step,46,0.7068137185276921,0.2694812523332003,0.5757151439753194,2.723644726638172,0.4242848560246805,6.0,2.719964498715212,0.08312399162741725,0.030412912368774414,
MZI,MZI,1,step,47,0.7039809743558723,0.2671961920632795,0.5683022813411787,2.7224644548368917,0.43169771865882123,6.0,2.7083540393219776,0.08901792944121406,0.03145623207092285,
MZI,MZI,1,step,48,0.7012350734501072,0.26481408549983615,0.5601214161626424,2.722766114280926,0.43987858383735745,6.0,2.694560392550952,0.09567381940448248,0.03092336654663086,
MZI,MZI,1,step,49,0.6986096880539223,0.2623414447490953,0.5513120755709282,2.724684263508537,0.4486879244290717,6.0,2.678817005210456,0.10233546310975745,0.02256631851196289,
MZI,MZI,1,step,50,0.6961660515688413,0.2598232862943911,0.542149846958051,2.728235152843651,0.45785015304194887,6.0,2.661633789268889,0.10857443991401869,0.02068018913269043,
MZI,MZI,1,step,51,0.6939370464093075,0.2573389018852749,0.5330631317986928,2.73296658622732,0.46693686820130714,6.0,2.6440648539474516,0.11435768841939506,0.02000260353088379,
MZI,MZI,1,step,52,0.6918529030150005,0.2549761339300739,0.5245636226081246,2.7376572530301355,0.4754363773918754,6.0,2.627787247741083,0.11971316637910392,0.019191741943359375,
MZI,MZI,1,step,53,0.6897430573813293,0.2527980316431263,0.5170598864956341,2.740613542756142,0.48294011350436605,6.0,2.6145562404762237,0.12425502296295735,0.0200653076171875,
MZI,MZI,1,step,54,0.6874368893486933,0.25082313777451287,0.51069656379569,2.7405261558959735,0.48930343620431016,6.0,2.6053710612997834,0.12717544497346675,0.02282261848449707,
MZI,MZI,1,step,55,0.6848566991518893,0.24902478718191826,0.5053546390140515,2.7370945334617898,0.49464536098594847,6.0,2.600127947086084,0.12780853998692573,0.022322654724121094,
MZI,MZI,1,step,56,0.6820361870272075,0.24734021971495102,0.5007315553426013,2.7310625969675097,0.4992684446573987,6.0,2.597786674562885,0.12607247306702346,0.021924734115600586,
MZI,MZI,1,step,57,0.6790714895845531,0.24568099723379527,0.4964133076438373,2.723798846457107,0.5035866923561627,6.0,2.5967892018475767,0.1224876767505124,0.029906749725341797,
MZI,MZI,1,step,58,0.676041893541027,0.24394014790343818,0.4919263096053701,2.7167028677154685,0.5080736903946299,6.0,2.5955398888157757,0.11791908802036213,0.01973891258239746,
MZI,MZI,1,step,59,0.672961696018246,0.24200350597379605,0.48678658961846966,2.7107924037568427,0.5132134103815303,6.0,2.5927372418578187,0.11318714891907493,0.02200937271118164,
MZI,MZI,1,step,60,0.6697977132689136,0.23977306485767075,0.4805630557527809,2.706643304157359,0.5194369442472191,6.0,2.587463577522028,0.10874700532580549,0.023814916610717773,
MZI,MZI,1,step,61,0.6665286098846355,0.2371949289205299,0.47294337689521204,2.7045767474622995,0.527056623104788,6.0,2.579107931767432,0.10462187878294067,0.021950244903564453,
MZI,MZI,1,step,62,0.6631933995678447,0.23427827303742307,0.46378636527311534,2.7048387217784393,0.5362136347268847,6.0,2.5672952868640833,0.10063708658845477,0.02536940574645996,
MZI,MZI,1,step,63,0.6599605229925513,0.23109763696859126,0.4545162113694637,2.7075805030365787,0.5468470941058423,6.0,2.5519387192655003,0.09679322569581483,0.025279760360717773,
MZI,MZI,1,step,64,0.656899049624289,0.22797078382658426,0.4451912619105287,2.7111246846811885,0.5573412970110908,6.0,2.536501958772144,0.10046626554352643,0.02027750015258789,
MZI,MZI,1,step,65,0.6540510398606207,0.2250513364654136,0.4357337116923387,2.7147534520706014,0.5673272623227548,6.0,2.5216757049979814,0.09692426969837797,0.02145862579345703,
MZI,MZI,1,step,66,0.6514174902482466,0.22245761517393328,0.4265682991520229,2.717543067444747,0.576500391141078,6.0,2.5081858200889715,0.0938547049332976,0.021459579467773438,
MZI,MZI,1,step,67,0.6489623530914046,0.220242173207353,0.41799856606560637,2.7188016772051418,0.5847138693744336,6.0,2.4964537894609684,0.09113174937637926,0.026010751724243164,
MZI,MZI,1,step,68,0.6466500799759154,0.21837436597883753,0.4101554320946661,2.718452949282297,0.5920370915627449,6.0,2.4863235748205863,0.088477361469428,0.023862361907958984,
MZI,MZI,1,step,69,0.6444521779187783,0.21674095742872967,0.4029834309833231,2.7170803262725496,0.5987744801067322,6.0,2.476997572260464,0.0859355737602381,0.022797346115112305,
MZI,MZI,1,step,70,0.6425266321623964,0.21517045057995823,0.4003522451288125,2.715590462173317,0.6054254858573073,6.0,2.467230182834027,0.08397236160283189,0.019249677658081055,
MZI,MZI,1,step,71,0.6405265732562779,0.2136929487352442,0.3967267261682536,2.7133152547508077,0.6105575363209261,6.0,2.461061017992816,0.08883386682460273,0.020053863525390625,
MZI,MZI,1,step,72,0.6384314954249194,0.21217587345691571,0.3915379156207952,2.7111915079130933,0.6151077730821348,6.0,2.4561952428655864,0.08654201919643514,0.023694992065429688,
MZI,MZI,1,step,73,0.6361651149771836,0.21014077365991723,0.3853497672340389,2.7117123530370972,0.6222866348364321,6.0,2.444968189948435,0.0800277594579998,0.022304773330688477,
MZI,MZI,1,step,74,0.6338127479917441,0.2079845763328133,0.37995000638787757,2.7122044755969132,0.6298712930860055,6.0,2.4321748850545175,0.08010317005483157,0.021233081817626953,
MZI,MZI,1,step,75,0.6312370427780918,0.20573586342270883,0.3755605958537994,2.711487663751287,0.6376076719167584,6.0,2.418352049848151,0.07918009753446319,0.020733356475830078,
MZI,MZI,1,step,76,0.628254026219956,0.20345616946875966,0.37266317147996697,2.7077646545146528,0.6448186339029536,6.0,2.4053208622752082,0.08086031879283219,0.022260189056396484,
