model,model_key,layer,epoch,train_loss,test_loss,train_accuracy,test_accuracy,epoch_time_s
MZI,MZI,2,17,0.0018862092102478658,0.004740060307085514,1.0,1.0,0.7186896800994873
MZI,MZI,2,18,0.0016843072205249751,0.004452696070075035,1.0,1.0,0.7148528099060059
MZI,MZI,2,19,0.0014979557233995625,0.0040007890202105045,1.0,1.0,0.6975607872009277
MZI,MZI,2,20,0.0013524962032014237,0.003969558048993349,1.0,1.0,0.7341146469116211
MZI,MZI,2,21,0.0012257756665349008,0.0038175510708242655,1.0,1.0,0.8067638874053955
MZI,MZI,2,22,0.0011189162332032408,0.0035405331291258335,1.0,1.0,0.7210664749145508
MZI,MZI,2,23,0.0010249672790191003,0.0033337557688355446,1.0,1.0,0.6793665885925293
MZI,MZI,2,24,0.0009486896434931883,0.0030307620763778687,1.0,1.0,0.6846201419830322
MZI,MZI,2,25,0.000867231105803512,0.002828296972438693,1.0,1.0,0.7373511791229248
MZI,MZI,2,26,0.0008051949187314936,0.0027543657924979925,1.0,1.0,0.8164193630218506
MZI,MZI,2,27,0.0007486251889661487,0.0026145398151129484,1.0,1.0,0.7986865043640137
MZI,MZI,2,28,0.0006979866389883682,0.002447177190333605,1.0,1.0,0.7728118896484375
MZI,MZI,2,29,0.0006514407694339752,0.0023755559232085943,1.0,1.0,0.741560697555542
MZI,MZI,2,30,0.0006108632070078914,0.00228565139696002,1.0,1.0,0.7328691482543945
MZI,MZI,2,31,0.0005749838534809116,0.002149933483451605,1.0,1.0,0.7224068641662598
MZI,MZI,2,32,0.0005442427163611033,0.002079539466649294,1.0,1.0,0.7478089332580566
MZI,MZI,2,33,0.0005082284601355371,0.002026098780333996,1.0,1.0,0.759002685546875
MZI,MZI,2,34,0.00048445901650536274,0.0018479484133422375,1.0,1.0,0.7353541851043701
MZI,MZI,2,35,0.0004546345681384472,0.001780832652002573,1.0,1.0,0.7311241626739502
MZI,MZI,2,36,0.00043230129106502447,0.0017406187253072858,1.0,1.0,0.7140984535217285
MZI,MZI,2,37,0.00041103291857455456,0.0016108194831758738,1.0,1.0,0.817171573638916
MZI,MZI,2,38,0.000388625794273269,0.0016062067588791251,1.0,1.0,0.7564136981964111
MZI,MZI,2,39,0.0003695953034496467,0.0015171177219599485,1.0,1.0,0.7098290920257568
MZI,MZI,2,40,0.00035295931946685804,0.0014379395870491862,1.0,1.0,0.7050397396087646
MZI,MZI,2,41,0.0003400282730581239,0.001458616927266121,1.0,1.0,0.6623644828796387
MZI,MZI,2,42,0.0003249800847178059,0.0012127069057896733,1.0,1.0,0.6999576091766357
MZI,MZI,2,43,0.0003103960945736617,0.0012634334852918983,1.0,1.0,0.67606520652771
MZI,MZI,2,44,0.00029232209365415786,0.0012149492977187037,1.0,1.0,0.7150497436523438
MZI,MZI,2,45,0.00028008271474391224,0.001187793561257422,1.0,1.0,0.6736166477203369
MZI,MZI,2,46,0.0002688199015600341,0.001140644308179617,1.0,1.0,0.6822104454040527
MZI,MZI,2,47,0.00025863597443926014,0.0011417047353461385,1.0,1.0,0.6747395992279053
MZI,MZI,2,48,0.0002470381375003074,0.0011340550845488906,1.0,1.0,0.6885542869567871
MZI,MZI,2,49,0.00023765012987756303,0.0010814983397722244,1.0,1.0,0.6491420269012451
MZI,MZI,2,50,0.00022955878479738852,0.0010586753487586975,1.0,1.0,0.695533037185669
MZI,MZI,2,51,0.00022021126309742354,0.000984257087111473,1.0,1.0,0.6710155010223389
MZI,MZI,2,52,0.00021254295965523592,0.0009522450272925198,1.0,1.0,0.7798919677734375
MZI,MZI,2,53,0.000204572722681665,0.0009308997541666031,1.0,1.0,0.5819246768951416
MZI,MZI,2,54,0.00019761334385423523,0.0009032965754158795,1.0,1.0,0.5629315376281738
MZI,MZI,2,55,0.00019119157243819375,0.0008752035791985691,1.0,1.0,0.5678849220275879
MZI,MZI,2,56,0.00018461549209730166,0.0008470253669656813,1.0,1.0,0.5551009178161621
MZI,MZI,2,57,0.00017810084744788971,0.0008344790549017489,1.0,1.0,0.5758059024810791
MZI,MZI,2,58,0.0001742423087957182,0.000837745436001569,1.0,1.0,0.639756441116333
MZI,MZI,2,59,0.0001663697608039781,0.0007765652262605727,1.0,1.0,0.5408608913421631
MZI,MZI,2,60,0.0001640198561030307,0.0007100407383404672,1.0,1.0,0.5504820346832275
MZI,MZI,2,61,0.00015760292839591525,0.0007188927265815437,1.0,1.0,0.5644311904907227
MZI,MZI,2,62,0.00015276992094836065,0.0006828397745266557,1.0,1.0,0.5671451091766357
MZI,MZI,2,63,0.00014767604526631268,0.0006858889828436077,1.0,1.0,0.5374002456665039
MZI,MZI,2,64,0.00014297998194316667,0.00065237918170169,1.0,1.0,0.5511155128479004
MZI,MZI,2,65,0.00013921694688698544,0.0006287805736064911,1.0,1.0,0.5594668388366699
MZI,MZI,2,66,0.00013514473726640322,0.0006217382615432143,1.0,1.0,0.5548570156097412
MZI,MZI,2,67,0.00013221405388321727,0.0006329289171844721,1.0,1.0,0.5600361824035645
MZI,MZI,2,68,0.00012758713814296893,0.0006072149844840169,1.0,1.0,0.5415811538696289
MZI,MZI,2,69,0.0001242067974609589,0.0005699882167391479,1.0,1.0,0.6680645942687988
MZI,MZI,2,70,0.00012091512180631981,0.0005499307299032807,1.0,1.0,0.550391435623169
