model,model_key,layer,state,bitstring,target_probability,generated_probability,probability_error,absolute_error,is_target_pattern
MZI,MZI,1,0,0000,0.16666666666666666,0.12599763336997738,-0.04066903329668928,0.04066903329668928,True
MZI,MZI,1,1,0001,0.0,6.07305656886736e-06,6.07305656886736e-06,6.07305656886736e-06,False
MZI,MZI,1,2,0010,0.0,7.2993244093371425e-06,7.2993244093371425e-06,7.2993244093371425e-06,False
MZI,MZI,1,3,0011,0.16666666666666666,0.1254574452780581,-0.04120922138860855,0.04120922138860855,True
MZI,MZI,1,4,0100,0.0,0.00022882813390622393,0.00022882813390622393,0.00022882813390622393,False
MZI,MZI,1,5,0101,0.16666666666666666,0.12538859841341427,-0.04127806825325239,0.04127806825325239,True
MZI,MZI,1,6,0110,0.0,0.12583959320465102,0.12583959320465102,0.12583959320465102,False
MZI,MZI,1,7,0111,0.0,5.883461186071506e-05,5.883461186071506e-05,5.883461186071506e-05,False
MZI,MZI,1,8,1000,0.0,0.00011750913433310286,0.00011750913433310286,0.00011750913433310286,False
MZI,MZI,1,9,1001,0.0,0.12393717008828567,0.12393717008828567,0.12393717008828567,False
MZI,MZI,1,10,1010,0.16666666666666666,0.1244027548099955,-0.04226391185667115,0.04226391185667115,True
MZI,MZI,1,11,1011,0.0,4.07280171826795e-05,4.07280171826795e-05,4.07280171826795e-05,False
MZI,MZI,1,12,1100,0.16666666666666666,0.12450993149633151,-0.04215673517033515,0.04215673517033515,True
MZI,MZI,1,13,1101,0.0,3.4744674881171304e-06,3.4744674881171304e-06,3.4744674881171304e-06,False
MZI,MZI,1,14,1110,0.0,3.894298582994186e-05,3.894298582994186e-05,3.894298582994186e-05,False
MZI,MZI,1,15,1111,0.16666666666666666,0.12396518360770753,-0.04270148305895913,0.04270148305895913,True
MZI,MZI,2,0,0000,0.16666666666666666,0.1674584934225816,0.0007918267559149372,0.0007918267559149372,True
MZI,MZI,2,1,0001,0.0,0.00017367295858877776,0.00017367295858877776,0.00017367295858877776,False
MZI,MZI,2,2,0010,0.0,4.348390661487129e-05,4.348390661487129e-05,4.348390661487129e-05,False
MZI,MZI,2,3,0011,0.16666666666666666,0.16981172593894425,0.003145059272277595,0.003145059272277595,True
MZI,MZI,2,4,0100,0.0,0.00014707119150944673,0.00014707119150944673,0.00014707119150944673,False
MZI,MZI,2,5,0101,0.16666666666666666,0.08040792988381248,-0.08625873678285417,0.08625873678285417,True
MZI,MZI,2,6,0110,0.0,0.08276752151934426,0.08276752151934426,0.08276752151934426,False
MZI,MZI,2,7,0111,0.0,0.00019953224133488452,0.00019953224133488452,0.00019953224133488452,False
MZI,MZI,2,8,1000,0.0,0.00017633263816860592,0.00017633263816860592,0.00017633263816860592,False
MZI,MZI,2,9,1001,0.0,0.07041862400035233,0.07041862400035233,0.07041862400035233,False
MZI,MZI,2,10,1010,0.16666666666666666,0.07343487356920488,-0.09323179309746178,0.09323179309746178,True
MZI,MZI,2,11,1011,0.0,8.60507310146743e-05,8.60507310146743e-05,8.60507310146743e-05,False
MZI,MZI,2,12,1100,0.16666666666666666,0.1761319408567129,0.009465274190046252,0.009465274190046252,True
MZI,MZI,2,13,1101,0.0,1.8052836296473786e-05,1.8052836296473786e-05,1.8052836296473786e-05,False
MZI,MZI,2,14,1110,0.0,0.00020081210182748072,0.00020081210182748072,0.00020081210182748072,False
